N,psi,delta,lambda,theta,alpha,effective_beta,psi_check,selection_mode,path_index,hit_x0_zero,t_0,first_loss_time,num_classes,T_MAX
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,150,True,9.0,9.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,151,True,35.0,35.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,152,True,46.0,46.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,153,True,16.0,16.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,154,True,23.0,23.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,155,True,59.0,59.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,156,True,80.0,80.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,157,True,18.0,18.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,158,True,48.0,48.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,159,True,7.0,7.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,160,True,55.0,55.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,161,True,18.0,18.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,162,True,30.0,30.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,163,True,12.0,12.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,164,True,23.0,23.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,165,True,63.0,63.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,166,True,43.0,43.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,167,True,58.0,58.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,168,True,175.0,175.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,169,True,471.0,471.0,256,1000000
10000,1.3,0.7,0.5288312031603335,6.447238260383328,0.08202445478242512,0.06917073191287018,1.3,one_minus_alpha_power,170,True,51.0,51.0,256,1000000
