time,X_0_mean,X_1_mean,X_2_mean,X_3_mean,kappa_1_mean,X_0_sd,X_1_sd,X_2_sd,X_3_sd,kappa_1_sd,X_0_se,X_1_se,X_2_se,X_3_se,kappa_1_se
2805,0.000411199992056936,0.0034202999266562985,0.01474489963700762,0.04045389908205834,7.090213215112686,0.0032691346476627224,0.013329559158913946,0.032456448690681455,0.05452394955447756,1.4455061783829077,0.00010337911464386253,0.0004215176714812638,0.0010263630262294322,0.0017241986762027207,0.045710918955356374
2806,0.0004065999914892018,0.0033939999088761397,0.014695099620017572,0.04047349897681852,7.091638522148132,0.0032496363212426984,0.013270451363535893,0.032445131551012814,0.054609242305753,1.4456849581929163,0.0001027625234233754,0.00041964851887260564,0.0010260051468499207,0.0017268958698220468,0.04571657246934917
2807,0.0004081999859772623,0.0034012999229016713,0.01466909963330545,0.040353399030311266,7.093406119346619,0.003293241175786986,0.013317843156431232,0.03243706721031579,0.054524539901760975,1.4463882324804231,0.00010414142999737833,0.0004211471789520882,0.0010257501300056189,0.0017242173446229813,0.0457388119550327
2808,0.0004067999916151166,0.003409599913051352,0.014604099637799663,0.04033789894843358,7.094148527383805,0.0032482494433580516,0.013396485570217184,0.032407409687273035,0.054509335601594995,1.44604098751351,0.0001027186664938554,0.00042363407043465853,0.0010248122767798785,0.0017237365424354477,0.045727831105017956
2809,0.0004026999892666936,0.00341359990806086,0.014623399626419996,0.04025779902632348,7.095819122314453,0.0032160107200052096,0.013333535485805884,0.03241577483212536,0.0544032785298238,1.4469898187513146,0.00010169918854734499,0.0004216434139782629,0.0010250768058867844,0.0017203827233477984,0.04575783578328375
2810,0.00039269999181851744,0.003423099928011652,0.014617799598541752,0.04018529901428701,7.098340310811997,0.0031501714052917257,0.013424796231586439,0.03244367385766201,0.054312334526982496,1.447668451951167,9.961716660655255e-05,0.0004245293321545844,0.0010259590505387343,0.001717506821462685,0.04577929604935716
2811,0.0003909999926108867,0.0034123999191215263,0.014550899621019199,0.040195198942492426,7.0991753163337705,0.00316974223257135,0.013457739371806844,0.032361548731211484,0.0544083786968988,1.4485064375041838,0.00010023605050552623,0.00042557108571833225,0.0010233620260116044,0.0017205440047918426,0.045805795479295655
2812,0.0003940999866463244,0.003415799911308568,0.014516399679327151,0.040090598967632105,7.1017941164970395,0.003214621004641369,0.013476130295684712,0.032345730409339433,0.05430412424824319,1.449011370667601,0.00010165524188885433,0.0004261526577956206,0.0010228618067528311,0.0017172471896522744,0.04582176286792118
2813,0.00039659998961724343,0.0034374999139399733,0.014478699671279174,0.040119799007108665,7.101941123485565,0.0031896271908887787,0.013606425254631092,0.03222403262449652,0.05437679581159486,1.4497456510555944,0.00010086486810013208,0.0004302729461747076,0.0010190133848898236,0.0017195452662654392,0.04584498285259369
2814,0.00039529998833313587,0.003393899940507254,0.014433199623366817,0.04008389899553003,7.102760123252868,0.0031610693848007276,0.013390295244064505,0.032197855569648375,0.054396616224797315,1.4497890916682514,9.996179097797543e-05,0.0004234383151336408,0.0010181855937322708,0.0017201720427642935,0.04584635656538318
2815,0.0004035999872721732,0.003395499915117398,0.01439449967085966,0.040050198917058875,7.104533517837525,0.0032514609412836945,0.013362080139264538,0.03219445749603457,0.054426813942864735,1.4500087185454666,0.00010282022297531477,0.0004225460751777584,0.0010180781372095054,0.0017211269784566203,0.045853301777057084
2816,0.00039419998647645117,0.0033757999349909367,0.014386799663567217,0.04005809894767299,7.104788323640824,0.0031855601419219456,0.013274854045467872,0.0322627885483023,0.05450338342940011,1.4498881943388264,0.00010073625671922581,0.00041978774389978885,0.0010202389548103258,0.0017235483182238339,0.04584949046699541
2817,0.00039219999022316185,0.0033618999301543227,0.01429399966892379,0.040035498872624885,7.105560129642487,0.0031439120243096186,0.013182011156230576,0.03206495186638595,0.05448824397193295,1.449641446990563,9.941922760009054e-05,0.00041685179395438296,0.0010139828096144667,0.0017230695665424794,0.045841687630724215
2818,0.00039689998980611563,0.003336199933779426,0.014310899616670213,0.04005139897975459,7.1069857149124145,0.003191969391374429,0.013094420495793015,0.03211209708516318,0.05451230370395727,1.4508414953687037,0.00010093893498284617,0.00041408193406697205,0.0010154736723356967,0.0017238304020733809,0.04587963649249737
2819,0.0004028999882284552,0.0033277999244382952,0.014301199572364566,0.039990199046835186,7.108701818466186,0.0032331399966535716,0.0131124176008608,0.03209673491842644,0.05448887335934289,1.4517987419590317,0.00010224086383614458,0.00041465105250000764,0.001014987877968863,0.0017230894695199398,0.04590990728757603
2820,0.00040139999357052147,0.0033126999366213565,0.014346899635187583,0.03987469895715912,7.110699128866195,0.0032192299147943914,0.0129976899191718,0.03212275558803878,0.054454000829264784,1.4519893068454919,0.00010180098842500059,0.0004110230446519273,0.0010158107237910401,0.0017219867032917443,0.045915933478408694
2821,0.0003950999886728823,0.0032817999315448106,0.014379199686460196,0.03982889903999603,7.112900218963623,0.0031655751767110892,0.012904145876821923,0.03218781818463069,0.054458760316106816,1.451470035836989,0.00010010427662897048,0.0004080649222982787,0.0010178681837481917,0.0017221372114808887,0.04589951268731107
2822,0.00039309998881071804,0.00329519993570284,0.01433699963404797,0.03974909909931739,7.114557718753814,0.003178424811834625,0.013103527565200975,0.03204268260514441,0.05438206735275541,1.4516198577022514,0.0001005106177698952,0.000414369924888356,0.001013278593741141,0.001719711967033906,0.04590425047068632
2823,0.0003982999883592129,0.0032668999173838527,0.014315799647447421,0.039644799094559854,7.116447522640228,0.0032435361793230156,0.01298278471447487,0.031915810841294405,0.05432007435512298,1.4520614710693325,0.0001025696199982107,0.00041055170069359396,0.0010092665562958507,0.0017177515763189069,0.04591821551153784
2824,0.00039929998642764984,0.003237499909926555,0.01435879959873273,0.039596599080352464,7.116955127000809,0.003325165464849891,0.012829274501528617,0.03198086737453726,0.05425845011483191,1.4521762983383018,0.00010515096465858215,0.00040569728152351766,0.0010113238245130695,0.001715802846734934,0.04592184666861223
2825,0.00039649999304674566,0.003229899933838169,0.014256199639930855,0.03962739901694295,7.118862831830978,0.0033048599942828902,0.012771433744566104,0.03187437474424999,0.054327717402511376,1.4531037029979463,0.00010450884929904981,0.00040386819618761985,0.0010079562318557696,0.0017179932706990263,0.045951173778983535
