N,psi,delta,lambda,theta,alpha,effective_beta,psi_check,selection_mode,path_index,hit_x0_zero,t_0,first_loss_time,stop_time,simulated_until,simulated_until_rule,leading_zero_count_at_t0,first_nonzero_class_at_t0,kappa_1_at_t0,final_kappa_1,final_X0_count,final_X_0,num_classes,T_MAX
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,87,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.7594999,2025,0.2025,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,88,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.4279,3243,0.3243,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,89,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.1631,844,0.0844,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,90,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.8827,1145,0.11449999,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,91,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.4413,797,0.0797,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,92,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.9296,722,0.0722,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,93,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.6537,1840,0.184,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,94,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.9613999,1196,0.1196,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,95,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.4784,1904,0.19039999,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,96,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.8495,855,0.085499994,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,97,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.4797,3839,0.3839,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,98,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.7669,2157,0.2157,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,99,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.3798,1937,0.1937,10000,1000
